Date,Open,High,Low,Close,Volume,Adj Close,,
01-02-2017,27669.08008,28159.53906,27590.09961,28141.64063,18200,28141.64063,,0.017561483
02-02-2017,28167.83008,28299.91992,28070.81055,28226.60938,17200,28226.60938,,0.003019325
03-02-2017,28270.66992,28280.58008,28127.17969,28240.51953,10800,28240.51953,,0.000492803
06-02-2017,28340.39063,28487.2793,28340.39063,28439.2793,10000,28439.2793,,0.007038106
07-02-2017,28443.23047,28483.41016,28239.11914,28335.16016,10800,28335.16016,,-0.003661103
08-02-2017,28386.08008,28391.64063,28149.08008,28289.91992,10900,28289.91992,,-0.001596611
09-02-2017,28349.2207,28469.48047,28152.17969,28329.69922,10200,28329.69922,,0.00140613
10-02-2017,28367.16992,28456.17969,28286.80078,28334.25,13700,28334.25,,0.000160636
13-02-2017,28450.41992,28458.80078,28197.38086,28351.61914,9400,28351.61914,,0.000613009
14-02-2017,28386.11914,28393.41992,28263.44922,28339.31055,11700,28339.31055,,-0.000434141
15-02-2017,28270.10938,28382.32031,28102.23047,28155.56055,17800,28155.56055,,-0.006483926
16-02-2017,28223.84961,28327.83984,28146.18945,28301.26953,9700,28301.26953,,0.005175141
17-02-2017,28670.42969,28726.25977,28410.91016,28468.75,15000,28468.75,,0.005917772
20-02-2017,28481.91016,28696.5293,28419.26953,28661.58008,8900,28661.58008,,0.006773395
21-02-2017,28716.69922,28801,28597.33008,28761.58984,8400,28761.58984,,0.003489332
22-02-2017,28822.40039,28963.51953,28789.30078,28864.71094,16300,28864.71094,,0.003585375
23-02-2017,28927.66992,29065.31055,28860.46094,28892.9707,18400,28892.9707,,0.000979042
27-02-2017,28910.5,28961.83008,28791.18945,28812.88086,12000,28812.88086,,-0.002771949
28-02-2017,28825.18945,28876.53906,28721.11914,28743.32031,10700,28743.32031,,-0.002414217
01-03-2017,28849.03906,29029.16992,28824.16992,28984.49023,14600,28984.49023,,0.008390468
02-03-2017,29117.38086,29145.61914,28784.31055,28839.78906,10800,28839.78906,,-0.004992366
03-03-2017,28827.5,28860.13086,28716.21094,28832.44922,9300,28832.44922,,-0.000254504
06-03-2017,28859.21094,29070.19922,28856.11914,29048.18945,12100,29048.18945,,0.00748255
07-03-2017,29092.16016,29098.16992,28957.67969,28999.56055,9700,28999.56055,,-0.001674077
08-03-2017,29021.06055,29022.32031,28815.48047,28901.93945,16300,28901.93945,,-0.003366296
09-03-2017,28909.69922,28986.7207,28815.01953,28929.13086,401500,28929.13086,,0.000940816
10-03-2017,29006,29076.63086,28851.03906,28946.23047,15900,28946.23047,,0.000591086
