India gets muted response to small discovered field auction
Reliance to contest government's $1.55 bln penalty
India asks Reliance to respond in 30 days on $1.55 bln penalty notice - source
Petrobras to sell 'junk' fields as big finds delayed -sources
ONGC sees higher output this year after profit beat
India's GSPC in talks with ONGC on selling gas field stake
India hosts biggest Africa summit; plays catchup with China
Russia's Rosneft to sell 15 pct stake in Vankor to India's ONGC
Brazil regulator tells Shell, partners to develop 2 oilfields as one
Iran reassures India over development rights of gas field
Indian business dreads lifting of Iran sanctions
