Subsea affiliate of Singapore's Ezra files for U.S. bankruptcy
Larsen Surges Most in Six Months on Revenue Outlook, Job Cuts
L&T Technology Services Inks Multi-Million Dollar Contract with Global Semiconductor Firm
In India, private equity firms see new allure in old world retail
L&T Said to Pick Banks for Engineering-Services Unit IPO
Indian Stocks Jump Most in Asia as Larsen Soars on Earnings
Biggest India Roadbuilder Rises Most in 7 Years on Sales Outlook
India's coal efficiency drive risks ire of powerful unions
Lapsed tenders hurt Modi's "Make in India" defence industry push
